mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__kernel,param_tfidf__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.5406424522399902,0.011965879074371933,0.11179389953613281,0.003670845070067012,0.1,rbf,1000,"{'classifier__C': 0.1, 'classifier__kernel': 'rbf', 'tfidf__max_features': 1000}",0.829450915141431,0.8236272878535774,0.8202995008319468,0.8261231281198004,0.829308909242298,0.8257619482378107,0.0034846798047556125,16,0.8246307468275431,0.8285833159975037,0.8294154358227585,0.8267110463906803,0.826955074875208,0.8272591239827387,0.0016555583118717076
0.579496955871582,0.01167969606483172,0.11809740066528321,0.00898105137314616,0.1,rbf,2000,"{'classifier__C': 0.1, 'classifier__kernel': 'rbf', 'tfidf__max_features': 2000}",0.8261231281198004,0.8219633943427621,0.8186356073211315,0.8236272878535774,0.8268109908409659,0.8234320816956474,0.0029617586761675934,17,0.8215102974828375,0.8252548366964843,0.8265030164343665,0.8246307468275431,0.824667221297837,0.8245132237478137,0.0016470797050331721
0.5825118541717529,0.02579717338322031,0.1197700023651123,0.00649578935734041,0.1,rbf,3000,"{'classifier__C': 0.1, 'classifier__kernel': 'rbf', 'tfidf__max_features': 3000}",0.8261231281198004,0.8219633943427621,0.8186356073211315,0.8236272878535774,0.8268109908409659,0.8234320816956474,0.0029617586761675934,17,0.8215102974828375,0.8250468067401706,0.8262949864780529,0.8244227168712295,0.8242512479201332,0.8243052110984849,0.0015708234723914227
0.5084030151367187,0.01445066991469028,0.10664753913879395,0.005598709334148869,1,rbf,1000,"{'classifier__C': 1, 'classifier__kernel': 'rbf', 'tfidf__max_features': 1000}",0.8826955074875208,0.8801996672212978,0.867720465890183,0.872712146422629,0.8742714404662781,0.8755198454975817,0.005360277377852806,4,0.9301019346785937,0.9288537549407114,0.9311420844601622,0.9325982941543582,0.9267886855241264,0.9298969507515904,0.001981878036929925
0.5788416385650634,0.04252337648579272,0.10978255271911622,0.0036278568743158598,1,rbf,2000,"{'classifier__C': 1, 'classifier__kernel': 'rbf', 'tfidf__max_features': 2000}",0.8851913477537438,0.8785357737104825,0.8668885191347754,0.8735440931780366,0.8742714404662781,0.8756862348486634,0.006040815490100642,3,0.9353026835864364,0.9380070730185147,0.9384231329311421,0.9390472228000832,0.9334442595673876,0.9368448743807127,0.002127650245720505
0.5735536575317383,0.01047767992992934,0.11241507530212402,0.001970506216212128,1,rbf,3000,"{'classifier__C': 1, 'classifier__kernel': 'rbf', 'tfidf__max_features': 3000}",0.8826955074875208,0.8793677204658902,0.8668885191347754,0.8735440931780366,0.8734388009991674,0.875186928253078,0.0054493345560902365,5,0.9367588932806324,0.9394632827127106,0.9396713126690244,0.939879342625338,0.9344841930116472,0.9380514048598705,0.0021144476067516843
0.5730356216430664,0.044275809178737566,0.1020312786102295,0.003601667250025708,10,rbf,1000,"{'classifier__C': 10, 'classifier__kernel': 'rbf', 'tfidf__max_features': 1000}",0.8818635607321131,0.8843594009983361,0.8594009983361065,0.8660565723793677,0.8742714404662781,0.8731903945824403,0.009404020880927167,9,0.950696900353651,0.9511129602662783,0.9529852298731017,0.9519450800915332,0.9492512479201332,0.9511982837009395,0.001249039242969566
0.73909010887146,0.011762882591071593,0.11194629669189453,0.004553598582945948,10,rbf,2000,"{'classifier__C': 10, 'classifier__kernel': 'rbf', 'tfidf__max_features': 2000}",0.8810316139767055,0.8818635607321131,0.8602329450915142,0.867720465890183,0.8751040799333888,0.8731905331247809,0.008224188001056124,8,0.9540253796546703,0.9546494695236114,0.9567297690867484,0.9565217391304348,0.9527870216306157,0.954942675805216,0.0015007591714728712
0.731089973449707,0.015456991982112272,0.11314067840576172,0.0008177230584447984,10,rbf,3000,"{'classifier__C': 10, 'classifier__kernel': 'rbf', 'tfidf__max_features': 3000}",0.8793677204658902,0.8835274542429284,0.8594009983361065,0.867720465890183,0.8767693588676103,0.8733571995605438,0.00869196861571114,7,0.9540253796546703,0.9552735593925525,0.9577699188683171,0.957145828999376,0.9534109816971714,0.9555251337224174,0.001699876714649053
0.43849797248840333,0.038897417367449116,0.07142009735107421,0.00567824892676535,0.1,linear,1000,"{'classifier__C': 0.1, 'classifier__kernel': 'linear', 'tfidf__max_features': 1000}",0.8560732113144759,0.8452579034941764,0.8394342762063228,0.8419301164725458,0.8501248959200666,0.8465640806815176,0.005951752776233536,13,0.8475140420220512,0.8491782816725608,0.8539629706677762,0.8489702517162472,0.8498336106489185,0.8498918313455107,0.0021720915839994522
0.4671671390533447,0.014996707702926007,0.07393717765808105,0.001659742926894918,0.1,linear,2000,"{'classifier__C': 0.1, 'classifier__kernel': 'linear', 'tfidf__max_features': 2000}",0.8544093178036606,0.8444259567387687,0.8361064891846922,0.8402662229617305,0.8467943380516236,0.8444004649480952,0.00619339009779434,14,0.8450176825462866,0.8454337424589141,0.8506344913667568,0.8450176825462866,0.8444259567387687,0.8461059111314025,0.002286944657860038
0.4531112194061279,0.0067682467185935955,0.07370409965515137,0.0013467540601593527,0.1,linear,3000,"{'classifier__C': 0.1, 'classifier__kernel': 'linear', 'tfidf__max_features': 3000}",0.8544093178036606,0.8444259567387687,0.8361064891846922,0.8402662229617305,0.8467943380516236,0.8444004649480952,0.00619339009779434,14,0.8443935926773455,0.8454337424589141,0.8500104014978157,0.844809652589973,0.8444259567387687,0.8458146691925634,0.0021310708043918757
